recording,unit_id,unit_index,region_index,window_start_s,window_end_s,window_dur_s,window_source,n_spikes,rate_hz,isi_mean_s,isi_median_s,cv_isi,burst_count,burst_spike_frac,mean_ibi_s,is_active,is_silent,sttc_mean_window,sttc_mean_unit,sttc_degree,n_active_units_window,sttc_dt_s,sttc_degree_thresh,sttc_rate_resid_unit,sttc_rate_resid_window,sttc_degree_delta,sttc_mean_unit_delta,rate_hz_delta,burst_count_delta,tau_rec_burst_s,tau_rec_rate_s,burst_rate_ratio_post0,burst_rate_ratio_post_mid,burst_rate_ratio_post_last,rate_ratio_post0,rate_ratio_post_mid,rate_ratio_post_last,baseline_burst_rate_mean,baseline_rate_mean,injury_label,injury_start_s,injury_end_s,n_baseline_regions,n_post_regions
SMJM_Bicuculline,s7b,10,0,0.0,419.58000000000004,419.58000000000004,region,294.0,0.7007007007007007,1.4007995733788396,0.027825000000007094,2.723590578027299,34.0,0.9115646258503401,12.256524242424248,1.0,0.0,0.3536176537900559,0.49208949669504576,42.0,49.0,0.05,0.1,0.03978574745333041,-0.022531716579823002,7.0,0.23119467171569508,-0.3241336574669908,-17.0,,,2.709609589018733,1.8520571919273052,1.7163847231337366,3.2971324858216797,3.1618149812061627,2.7735498300162766,0.07448337550378367,0.7788431045233767,Bicuculline,3480.0,3540.0,8,5
SMJM_Bicuculline,s8a,11,0,0.0,419.58000000000004,419.58000000000004,region,397.0,0.9461842795176127,1.0367021464646464,0.023575000000008117,3.2319440721652226,34.0,0.9420654911838791,12.186599242424242,1.0,0.0,0.3536176537900559,0.48854951091889315,42.0,49.0,0.05,0.1,0.027606010132314507,-0.022531716579823002,7.0,0.2806664131377456,1.0045760045760048,59.0,,,2.709609589018733,1.8520571919273052,1.7163847231337366,3.2971324858216797,3.1618149812061627,2.7735498300162766,0.07448337550378367,0.7788431045233767,Bicuculline,3480.0,3540.0,8,5
SMJM_Bicuculline,s9a,12,0,0.0,419.58000000000004,419.58000000000004,region,558.0,1.3299013299013298,0.7476466786355477,0.020075000000005616,2.311751509202392,33.0,0.7455197132616488,12.624319531249999,1.0,0.0,0.3536176537900559,0.505463114135098,43.0,49.0,0.05,0.1,0.03101475899198558,-0.022531716579823002,6.0,0.23892651997649328,10.74407741074408,50.0,,,2.709609589018733,1.8520571919273052,1.7163847231337366,3.2971324858216797,3.1618149812061627,2.7735498300162766,0.07448337550378367,0.7788431045233767,Bicuculline,3480.0,3540.0,8,5
SMJM_Bicuculline,s10a,13,0,0.0,419.58000000000004,419.58000000000004,region,42.0,0.10010010010010009,9.966510975609756,0.09189999999999543,1.5471567257550354,6.0,0.5476190476190477,76.45636,1.0,0.0,0.3536176537900559,0.41879179099694613,42.0,49.0,0.05,0.1,-0.012373925338890202,-0.022531716579823002,8.5,0.32941016868615625,1.1201677868344535,68.0,,,2.709609589018733,1.8520571919273052,1.7163847231337366,3.2971324858216797,3.1618149812061627,2.7735498300162766,0.07448337550378367,0.7788431045233767,Bicuculline,3480.0,3540.0,8,5
SMJM_Bicuculline,s11a,14,0,0.0,419.58000000000004,419.58000000000004,region,438.0,1.0439010439010439,0.9392583524027461,0.01815000000000566,3.16549089201784,37.0,0.9269406392694064,11.189590277777775,1.0,0.0,0.3536176537900559,0.5337316409841147,42.0,49.0,0.05,0.1,0.0693490157961828,-0.022531716579823002,7.0,0.2392498980876765,0.19066685733352418,47.5,,,2.709609589018733,1.8520571919273052,1.7163847231337366,3.2971324858216797,3.1618149812061627,2.7735498300162766,0.07448337550378367,0.7788431045233767,Bicuculline,3480.0,3540.0,8,5
SMJM_Bicuculline,s12a,15,0,0.0,419.58000000000004,419.58000000000004,region,535.0,1.2750846084179417,0.7841293071161048,0.47061250000000143,1.115564348406203,22.0,0.17196261682242991,18.82454166666667,1.0,0.0,0.3536176537900559,0.23054800206047288,38.0,49.0,0.05,0.1,-0.2419710881745633,-0.022531716579823002,10.0,0.5210562255102104,1.7875017875017876,89.0,,,2.709609589018733,1.8520571919273052,1.7163847231337366,3.2971324858216797,3.1618149812061627,2.7735498300162766,0.07448337550378367,0.7788431045233767,Bicuculline,3480.0,3540.0,8,5
SMJM_Bicuculline,s13a,16,0,0.0,419.58000000000004,419.58000000000004,region,620.0,1.4776681443348108,0.6749224555735056,0.062274999999999636,1.6180197142006034,69.0,0.4854838709677419,5.985533455882354,1.0,0.0,0.3536176537900559,0.31160952247517665,42.0,49.0,0.05,0.1,-0.16803945981144575,-0.022531716579823002,6.5,0.44379842993607543,1.0427093760427095,33.5,,,2.709609589018733,1.8520571919273052,1.7163847231337366,3.2971324858216797,3.1618149812061627,2.7735498300162766,0.07448337550378367,0.7788431045233767,Bicuculline,3480.0,3540.0,8,5
SMJM_Bicuculline,s14a,17,0,0.0,419.58000000000004,419.58000000000004,region,168.0,0.40040040040040037,2.418448353293413,0.013125000000002274,3.95305053959353,9.0,0.9464285714285714,47.62069687500001,1.0,0.0,0.3536176537900559,0.4734292286327515,40.0,49.0,0.05,0.1,0.031694495843975656,-0.022531716579823002,8.0,0.17708041369969596,2.1700271700271703,134.0,,,2.709609589018733,1.8520571919273052,1.7163847231337366,3.2971324858216797,3.1618149812061627,2.7735498300162766,0.07448337550378367,0.7788431045233767,Bicuculline,3480.0,3540.0,8,5
SMJM_Bicuculline,s15a,18,0,0.0,419.58000000000004,419.58000000000004,region,106.0,0.25263358596691926,3.955202857142856,2.6251250000000255,1.16169120553471,3.0,0.12264150943396226,160.936225,1.0,0.0,0.3536176537900559,0.20939690851435122,37.0,49.0,0.05,0.1,-0.22713719713091474,-0.022531716579823002,10.5,0.5624417690973484,1.4335764335764338,78.0,,,2.709609589018733,1.8520571919273052,1.7163847231337366,3.2971324858216797,3.1618149812061627,2.7735498300162766,0.07448337550378367,0.7788431045233767,Bicuculline,3480.0,3540.0,8,5
SMJM_Bicuculline,s16a,19,0,0.0,419.58000000000004,419.58000000000004,region,310.0,0.7388340721674054,1.328442071197411,0.025150000000000006,2.483955602171699,35.0,0.8161290322580645,11.917397058823529,1.0,0.0,0.3536176537900559,0.4822299646260599,42.0,49.0,0.05,0.1,0.02858411805698713,-0.022531716579823002,7.0,0.2602805046582734,0.6113256113256115,45.5,,,2.709609589018733,1.8520571919273052,1.7163847231337366,3.2971324858216797,3.1618149812061627,2.7735498300162766,0.07448337550378367,0.7788431045233767,Bicuculline,3480.0,3540.0,8,5
