recording,unit_id,unit_index,region_index,window_start_s,window_end_s,window_dur_s,window_source,n_spikes,rate_hz,isi_mean_s,isi_median_s,cv_isi
SMJM_Bicuculline,s15a,18,0,0.0,419.58000000000004,419.58000000000004,region,106.0,0.25263358596691926,3.955202857142856,2.6251250000000255,1.16169120553471
SMJM_Bicuculline,s16a,19,0,0.0,419.58000000000004,419.58000000000004,region,310.0,0.7388340721674054,1.328442071197411,0.025150000000000006,2.483955602171699
SMJM_Bicuculline,s16b,20,0,0.0,419.58000000000004,419.58000000000004,region,532.0,1.2679346012679344,0.7730086629001884,0.013774999999981219,3.4436340742604554
SMJM_Bicuculline,s17a,21,0,0.0,419.58000000000004,419.58000000000004,region,377.0,0.8985175651842318,1.0916922207446809,0.021137499999994702,3.4273837468325685
SMJM_Bicuculline,s18a,22,0,0.0,419.58000000000004,419.58000000000004,region,905.0,2.15691882358549,0.46210696902654863,0.15823749999999848,1.3293400294592945
SMJM_Bicuculline,s20a,23,0,0.0,419.58000000000004,419.58000000000004,region,875.0,2.0854187520854186,0.47810348970251715,0.054774999999978036,1.889151640223616
SMJM_Bicuculline,s20b,24,0,0.0,419.58000000000004,419.58000000000004,region,300.0,0.7150007150007149,1.37986254180602,0.2576750000000061,1.4665211315440416
SMJM_Bicuculline,s20c,25,0,0.0,419.58000000000004,419.58000000000004,region,165.0,0.39325039325039324,2.5033730182926828,0.13287500000001273,1.572853660659655
SMJM_Bicuculline,s21a,26,0,0.0,419.58000000000004,419.58000000000004,region,38.0,0.09056675723342389,10.06369662162162,6.226849999999985,1.125234675050413
SMJM_Bicuculline,s21b,27,0,0.0,419.58000000000004,419.58000000000004,region,109.0,0.25978359311692645,3.783623842592593,1.6728250000000031,1.3780605640707415
SMJM_Bicuculline,s21c,28,0,0.0,419.58000000000004,419.58000000000004,region,79.0,0.18828352161685494,5.261768910256411,0.0467000000000084,1.9392032899291656
SMJM_Bicuculline,s28a,29,0,0.0,419.58000000000004,419.58000000000004,region,226.0,0.5386338719672052,1.8233963333333334,0.016825000000011414,3.1152591418095312
SMJM_Bicuculline,s29a,30,0,0.0,419.58000000000004,419.58000000000004,region,72.0,0.17160017160017157,5.687169366197183,0.02812499999998863,3.297377877235835
SMJM_Bicuculline,s29b,31,0,0.0,419.58000000000004,419.58000000000004,region,232.0,0.5529338862672195,1.782733225108225,0.059449999999998226,1.823250339886327
SMJM_Bicuculline,s30a,32,0,0.0,419.58000000000004,419.58000000000004,region,310.0,0.7388340721674054,1.327912702265372,0.010249999999999204,3.4790731496740626
SMJM_Bicuculline,s31a,33,0,0.0,419.58000000000004,419.58000000000004,region,262.0,0.624433957767291,1.5841412835249042,0.046950000000009595,1.6906318494943697
SMJM_Bicuculline,s36a,34,0,0.0,419.58000000000004,419.58000000000004,region,455.0,1.0844177510844177,0.9172656938325991,0.23848750000000507,1.49278279250603
SMJM_Bicuculline,s37a,35,0,0.0,419.58000000000004,419.58000000000004,region,439.0,1.0462843796177128,0.9407834474885844,0.11403750000002333,1.6073639399406339
SMJM_Bicuculline,s37b,36,0,0.0,419.58000000000004,419.58000000000004,region,139.0,0.33128366461699793,3.0086842391304347,2.115374999999986,0.9300633194515734
SMJM_Bicuculline,s37c,37,0,0.0,419.58000000000004,419.58000000000004,region,191.0,0.4552171218837885,2.163638421052632,0.09194999999999975,1.641564395767513
SMJM_Bicuculline,s38a,38,0,0.0,419.58000000000004,419.58000000000004,region,686.0,1.634968301634968,0.6098250729927007,0.04395000000000948,1.9496748953106462
SMJM_Bicuculline,s39a,39,0,0.0,419.58000000000004,419.58000000000004,region,2873.0,6.84732351399018,0.14581365772980504,0.03551250000001005,2.0451823052857523
